,year,province,health,social_media,sex,birth_year,immigrant,marital_status,education,emp_status,sector,social_class,life_satis,age,employed,female
276,2020,CA-MB Manitoba,Good,Never,Male,1964,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Unemployed,Private business or industry,Working class,6,56,0,0
277,2020,CA-BC Colombie-Britannique,Fair,Daily,Female,1977,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Lower middle class,7,43,1,1
278,2020,CA-NL Terre-Neuve-et-Labrador,Fair,Monthly,Female,1983,I am born in this country,Married,Upper secondary education (ISCED 3),Part time (less than 30 hours a week),Government or public institution,Lower middle class,5,37,0,1
279,2020,CA-ON Ontario,Very good,Never,Male,1948,I am born in this country,Married,Short-cycle tertiary education (ISCED 5),Retired/pensioned,Government or public institution,Lower middle class,8,72,0,0
280,2020,CA-BC Colombie-Britannique,Good,Never,Male,1956,I am an immigrant to this country (born outside this country),Married,Master or equivalent (ISCED 7),Part time (less than 30 hours a week),Private non-profit organization,Lower middle class,7,64,0,0
281,2020,CA-ON Ontario,Good,Weekly,Female,1956,I am born in this country,Separated,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Government or public institution,Lower class,7,64,0,1
282,2020,CA-ON Ontario,Fair,Daily,Male,1982,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Working class,6,38,1,0
283,2020,CA-QC Quebec,Very good,Daily,Female,1998,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Student,Private business or industry,Lower middle class,5,22,0,1
284,2020,CA-BC Colombie-Britannique,Fair,Never,Male,1948,I am born in this country,Divorced,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Government or public institution,Lower middle class,7,72,0,0
285,2020,CA-ON Ontario,Fair,Weekly,Female,1963,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,Private non-profit organization,Working class,5,57,0,1
286,2020,CA-AB Alberta,Good,Daily,Male,1934,I am born in this country,Widowed,Master or equivalent (ISCED 7),Retired/pensioned,Private business or industry,Upper middle class,10,86,0,0
287,2020,CA-NS Nouvelle-Ecosse,Fair,Daily,Male,1965,I am born in this country,Separated,Post-secondary non-tertiary education (ISCED 4),Self employed,Private business or industry,Working class,9,55,0,0
288,2020,CA-QC Quebec,Very good,Daily,Female,1993,I am born in this country,Living together as married,Doctoral or equivalent (ISCED 8),Student,Government or public institution,Upper class,8,27,0,1
289,2020,CA-ON Ontario,Very good,Daily,Female,1966,I am an immigrant to this country (born outside this country),Single,Bachelor or equivalent (ISCED 6),Self employed,Private business or industry,Lower middle class,7,54,0,1
290,2020,CA-QC Quebec,Good,Daily,Female,1998,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Student,Private business or industry,Lower middle class,8,22,0,1
291,2020,CA-QC Quebec,Very good,Weekly,Male,1960,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Upper middle class,8,60,0,0
292,2020,CA-BC Colombie-Britannique,Good,Daily,Female,1988,I am an immigrant to this country (born outside this country),Married,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Private business or industry,Working class,4,32,1,1
293,2020,CA-NS Nouvelle-Ecosse,Good,Daily,Female,1996,I am an immigrant to this country (born outside this country),Living together as married,Bachelor or equivalent (ISCED 6),Student,Private business or industry,Lower middle class,8,24,0,1
294,2020,CA-MB Manitoba,Good,Monthly,Male,1977,I am born in this country,Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Private business or industry,Lower middle class,7,43,1,0
295,2020,CA-AB Alberta,Good,Daily,Female,1985,I am an immigrant to this country (born outside this country),Married,Master or equivalent (ISCED 7),Unemployed,Private business or industry,Upper middle class,8,35,0,1
296,2020,CA-NL Terre-Neuve-et-Labrador,Good,Daily,Male,1961,I am born in this country,Married,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Private business or industry,Working class,7,59,1,0
297,2020,CA-NL Terre-Neuve-et-Labrador,Good,Daily,Male,1970,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Upper middle class,8,50,1,0
298,2020,CA-QC Quebec,Good,Monthly,Male,1978,I am an immigrant to this country (born outside this country),Married,Doctoral or equivalent (ISCED 8),Full time (30 hours a week or more),Not applicable; Never had a job,Lower middle class,5,42,1,0
299,2020,CA-AB Alberta,Good,Daily,Male,1986,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Upper class,9,34,1,0
300,2020,CA-QC Quebec,Good,Daily,Male,1974,I am born in this country,Living together as married,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Private business or industry,Lower middle class,6,46,1,0
301,2020,CA-QC Quebec,Good,Never,Male,1945,I am born in this country,Married,Upper secondary education (ISCED 3),Retired/pensioned,Private business or industry,Lower middle class,9,75,0,0
302,2020,CA-SK Saskatchewan,Good,Daily,Female,1984,I am an immigrant to this country (born outside this country),Married,Lower secondary education (ISCED 2),Self employed,Private business or industry,Lower middle class,7,36,0,1
303,2020,CA-ON Ontario,Poor,Never,Female,1950,I am an immigrant to this country (born outside this country),Single,Bachelor or equivalent (ISCED 6),Self employed,Private business or industry,Working class,8,70,0,1
304,2020,CA-NS Nouvelle-Ecosse,Good,Never,Male,1955,I am born in this country,Married,Upper secondary education (ISCED 3),Retired/pensioned,Government or public institution,Upper middle class,8,65,0,0
305,2020,CA-QC Quebec,Good,Daily,Male,1952,I am born in this country,Married,Upper secondary education (ISCED 3),Retired/pensioned,Government or public institution,Upper middle class,9,68,0,0
306,2020,CA-QC Quebec,Fair,Daily,Female,1998,I am born in this country,Living together as married,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Private business or industry,Lower middle class,5,22,1,1
307,2020,CA-QC Quebec,Fair,Daily,Male,1990,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Government or public institution,Upper middle class,7,30,1,0
308,2020,CA-MB Manitoba,Good,Weekly,Male,1976,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Upper middle class,10,44,1,0
309,2020,CA-ON Ontario,Very good,Never,Male,1964,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Government or public institution,Upper middle class,10,56,0,0
310,2020,CA-ON Ontario,Good,Monthly,Male,1964,I am born in this country,Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Private non-profit organization,Upper middle class,7,56,1,0
311,2020,CA-ON Ontario,Good,Weekly,Male,1990,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Lower middle class,6,30,1,0
312,2020,CA-QC Quebec,Good,Daily,Female,1986,I am born in this country,Living together as married,Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),Not applicable; Never had a job,Upper middle class,6,34,1,1
313,2020,CA-ON Ontario,Poor,Weekly,Male,1954,I am born in this country,Married,Master or equivalent (ISCED 7),Retired/pensioned,Private business or industry,Upper middle class,5,66,0,0
314,2020,CA-ON Ontario,Good,Daily,Female,1965,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Government or public institution,Lower middle class,7,55,1,1
315,2020,CA-SK Saskatchewan,Good,Weekly,Male,1976,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private non-profit organization,Upper middle class,8,44,1,0
316,2020,CA-MB Manitoba,Good,Never,Male,1947,I am born in this country,Married,Short-cycle tertiary education (ISCED 5),Retired/pensioned,Private business or industry,Upper middle class,9,73,0,0
317,2020,CA-BC Colombie-Britannique,Fair,Daily,Female,1976,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Self employed,Private non-profit organization,Upper middle class,5,44,0,1
318,2020,CA-BC Colombie-Britannique,Good,Daily,Female,2000,I am born in this country,Single,Upper secondary education (ISCED 3),Student,Private business or industry,Upper middle class,5,20,0,1
319,2020,CA-BC Colombie-Britannique,Poor,Daily,Male,1972,I am born in this country,Single,Short-cycle tertiary education (ISCED 5),Unemployed,Government or public institution,Lower class,2,48,0,0
320,2020,CA-QC Quebec,Good,Weekly,Female,1960,I am born in this country,Married,Upper secondary education (ISCED 3),Self employed,Not applicable; Never had a job,Lower middle class,8,60,0,1
321,2020,CA-BC Colombie-Britannique,Fair,Daily,Female,2000,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Part time (less than 30 hours a week),Private business or industry,Lower middle class,7,20,0,1
322,2020,CA-SK Saskatchewan,Very good,Weekly,Female,1975,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Working class,9,45,1,1
323,2020,CA-BC Colombie-Britannique,Fair,Daily,Male,1980,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Other,Private business or industry,Lower middle class,6,40,0,0
324,2020,CA-QC Quebec,Very good,Less than monthly,Male,1951,I am born in this country,Married,Lower secondary education (ISCED 2),Retired/pensioned,Private business or industry,Working class,8,69,0,0
325,2020,CA-NS Nouvelle-Ecosse,Good,Daily,Female,1954,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Upper middle class,10,66,0,1
326,2020,CA-ON Ontario,Poor,Daily,Male,1995,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Student,Not applicable; Never had a job,Lower middle class,3,25,0,0
327,2020,CA-MB Manitoba,Very good,Daily,Male,1970,I am born in this country,Divorced,Master or equivalent (ISCED 7),Self employed,Private business or industry,Lower middle class,8,50,0,0
328,2020,CA-MB Manitoba,Very good,Daily,Female,1949,I am born in this country,Living together as married,Upper secondary education (ISCED 3),Retired/pensioned,Private business or industry,Upper middle class,10,71,0,1
329,2020,CA-MB Manitoba,Good,Never,Female,1960,I am born in this country,Married,Primary education (ISCED 1),Retired/pensioned,Private business or industry,Working class,9,60,0,1
330,2020,CA-ON Ontario,Good,Daily,Male,1975,I am born in this country,Divorced,Post-secondary non-tertiary education (ISCED 4),Part time (less than 30 hours a week),Private business or industry,Working class,8,45,0,0
331,2020,CA-MB Manitoba,Good,Weekly,Male,1980,I am born in this country,Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Upper middle class,9,40,1,0
332,2020,CA-ON Ontario,Good,Daily,Female,1984,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Upper middle class,9,36,1,1
333,2020,CA-AB Alberta,Good,Daily,Female,1953,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Part time (less than 30 hours a week),Government or public institution,Working class,7,67,0,1
334,2020,CA-PE Ile-du-Prince-Edouard,Fair,Daily,Female,1981,I am born in this country,Living together as married,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Government or public institution,Upper class,7,39,1,1
335,2020,CA-ON Ontario,Good,Daily,Male,1961,I am an immigrant to this country (born outside this country),Single,Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),Government or public institution,Lower middle class,9,59,1,0
336,2020,CA-NL Terre-Neuve-et-Labrador,Very good,Daily,Male,1953,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Upper middle class,8,67,0,0
337,2020,CA-QC Quebec,Good,Daily,Female,1992,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Government or public institution,Upper middle class,7,28,1,1
338,2020,CA-QC Quebec,Very good,Daily,Male,1981,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Upper middle class,9,39,1,0
339,2020,CA-ON Ontario,Fair,Daily,Male,1957,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Lower middle class,7,63,1,0
340,2020,CA-AB Alberta,Good,Weekly,Male,1958,I am born in this country,Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Upper middle class,6,62,1,0
341,2020,CA-ON Ontario,Good,Weekly,Male,1949,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Lower middle class,8,71,1,0
342,2020,CA-ON Ontario,Very good,Daily,Male,1970,I am born in this country,Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Private business or industry,Upper middle class,10,50,1,0
343,2020,CA-NB Nouveau-Brunswick,Good,Less than monthly,Male,1990,I am born in this country,Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Upper middle class,7,30,1,0
344,2020,CA-ON Ontario,Fair,Never,Female,1995,I am born in this country,Single,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Not applicable; Never had a job,Lower middle class,7,25,1,1
345,2020,CA-NB Nouveau-Brunswick,Fair,Daily,Male,1987,I am born in this country,Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Lower middle class,7,33,1,0
346,2020,CA-NS Nouvelle-Ecosse,Fair,Monthly,Male,1965,I am born in this country,Married,Primary education (ISCED 1),Full time (30 hours a week or more),Government or public institution,Working class,7,55,1,0
347,2020,CA-BC Colombie-Britannique,Good,Never,Male,1945,I am born in this country,Married,Short-cycle tertiary education (ISCED 5),Retired/pensioned,Government or public institution,Upper middle class,9,75,0,0
348,2020,CA-QC Quebec,Fair,Daily,Female,1963,I am born in this country,Widowed,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Private non-profit organization,Lower class,6,57,0,1
349,2020,CA-BC Colombie-Britannique,Good,Daily,Female,2001,I am born in this country,Single,Upper secondary education (ISCED 3),Student,Not applicable; Never had a job,Lower middle class,7,19,0,1
350,2020,CA-BC Colombie-Britannique,Good,Never,Female,1955,I am an immigrant to this country (born outside this country),Married,Upper secondary education (ISCED 3),Retired/pensioned,Private business or industry,Upper middle class,8,65,0,1
351,2020,CA-NL Terre-Neuve-et-Labrador,Fair,Less than monthly,Female,1995,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Student,Private business or industry,Working class,4,25,0,1
352,2020,CA-QC Quebec,Good,Weekly,Male,1958,I am born in this country,Single,Short-cycle tertiary education (ISCED 5),Retired/pensioned,Private business or industry,Lower middle class,7,62,0,0
353,2020,CA-NB Nouveau-Brunswick,Good,Daily,Male,1969,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Other,Private business or industry,Lower class,5,51,0,0
354,2020,CA-MB Manitoba,Fair,Daily,Male,1988,I am an immigrant to this country (born outside this country),Widowed,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Private business or industry,Upper middle class,5,32,1,0
355,2020,CA-BC Colombie-Britannique,Good,Weekly,Female,1968,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Working class,8,52,1,1
356,2020,CA-QC Quebec,Very good,Daily,Male,1992,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Lower middle class,6,28,1,0
