,year,province,health,social_media,sex,birth_year,immigrant,marital_status,education,emp_status,sector,social_class,life_satis,age,employed,female
1614,2020,CA-QC Quebec,Good,Daily,Male,1953,I am born in this country,Married,Upper secondary education (ISCED 3),Retired/pensioned,Private business or industry,Upper middle class,8,67,0,0
1615,2020,CA-MB Manitoba,Good,Daily,Female,2001,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Student,Private business or industry,Upper middle class,7,19,0,1
1616,2020,CA-BC Colombie-Britannique,Poor,Less than monthly,Female,1958,I am born in this country,Divorced,Post-secondary non-tertiary education (ISCED 4),Part time (less than 30 hours a week),Private business or industry,Lower middle class,7,62,0,1
1617,2020,CA-QC Quebec,Good,Weekly,Male,1996,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private non-profit organization,Lower middle class,7,24,1,0
1618,2020,CA-AB Alberta,Very good,Less than monthly,Female,1988,I am an immigrant to this country (born outside this country),Single,Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),Not applicable; Never had a job,Upper middle class,8,32,0,1
1619,2020,CA-QC Quebec,Good,Daily,Male,1985,I am born in this country,Single,Short-cycle tertiary education (ISCED 5),Homemaker not otherwise employed,Not applicable; Never had a job,Upper middle class,9,35,0,0
1620,2020,CA-SK Saskatchewan,Good,Weekly,Male,1980,I am born in this country,Married,Primary education (ISCED 1),Full time (30 hours a week or more),Government or public institution,Upper middle class,7,40,1,0
1621,2020,CA-AB Alberta,Fair,Daily,Female,1997,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Government or public institution,Upper middle class,7,23,1,1
1622,2020,CA-ON Ontario,Good,Less than monthly,Male,1995,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),Private business or industry,Upper middle class,7,25,0,0
1623,2020,CA-ON Ontario,Good,Daily,Female,1986,I am born in this country,Living together as married,Upper secondary education (ISCED 3),Homemaker not otherwise employed,Not applicable; Never had a job,Lower class,8,34,0,1
1624,2020,CA-ON Ontario,Good,Never,Female,1960,I am born in this country,Married,Short-cycle tertiary education (ISCED 5),Retired/pensioned,Private business or industry,Working class,8,60,0,1
1625,2020,CA-AB Alberta,Good,Never,Male,1970,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Lower middle class,5,50,1,0
1626,2020,CA-AB Alberta,Fair,Daily,Female,1967,I am an immigrant to this country (born outside this country),Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private non-profit organization,Lower middle class,5,53,1,1
1627,2020,CA-QC Quebec,Good,Monthly,Male,1935,I am born in this country,Widowed,Bachelor or equivalent (ISCED 6),Retired/pensioned,Government or public institution,Lower middle class,9,85,0,0
1628,2020,CA-QC Quebec,Good,Daily,Female,1969,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Lower middle class,5,51,1,1
1629,2020,CA-MB Manitoba,Good,Daily,Male,1965,I am born in this country,Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Private business or industry,Upper middle class,7,55,1,0
1630,2020,CA-BC Colombie-Britannique,Good,Daily,Male,1987,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Working class,8,33,1,0
1631,2020,CA-BC Colombie-Britannique,Fair,Never,Male,1975,I am an immigrant to this country (born outside this country),Single,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Government or public institution,Lower middle class,8,45,1,0
